Covidence #,Study ID,Title,Reviewer Name,What was the event?,Event Origin (What system did the event originate in?),Region,Year the event occurred?,Scale of the event?,Assessment Method,How long did the event last?,Did the paper analyse a regime change or shift to an alternate state?,Which ecosystem service was impacted by the event?,Was the impact on the ecosystem service positive or negative?,"What element of the ecosystem service supply chain was impacted, and what was the type of impact",Which ecosystem service was impacted by the event?,Was the impact on the ecosystem service positive or negative?,What element of the ecosystem service supply chain was impacted?,Which ecosystem service was impacted by the event?,Was the impact on the ecosystem service positive or negative?,What element of the ecosystem service supply chain was impacted?,Which ecosystem service was impacted by the event?,Was the impact on the ecosystem service positive or negative?,What element of the ecosystem service supply chain was impacted?,Which ecosystem service was impacted by the event?,Was the impact on the ecosystem service positive or negative?,What element of the ecosystem service supply chain was impacted?,Which ecosystem service was impacted by the event?,Was the impact on the ecosystem service positive or negative?,Which element of the ecosystem service supply chain was impacted?,Which ecosystem service was impacted by the event?,Was the impact on the ecosystem service positive or negative?,Which element of the ecosystem service supply chain was impacted? ,Which ecosystem service was impacted by the event?,Was the impact on the ecosystem service positive or negative?,Which element of the ecosystem service supply chain was impact?
998,Reynolds 2017,Lessons from the Thoku tsunami: A model for island avifauna conservation prioritization,Consensus,Tsunami,Environmental,Micronesia,2011,Local,Opportunistic observational studies after one event,< 1 year,No,Habitat Creation and Maintenance,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
923,Trauernicht 2018,Active restoration enhances recovery of a Hawaiian mesic forest after fire,Consensus,Bushfire,Environmental,Polynesia,2003-2017,Local,Long-term observational study of one event,< 1 year,No,Habitat Creation and Maintenance,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
910,Castaneda-Moya 2020,"Hurricanes fertilize mangrove forests in the Gulf of Mexico (Florida Everglades, USA)",Consensus,Cyclone/hurricane/typhoon,Environmental,Northern America,2017,Local,Opportunistic observational studies after one event,< 1 year,No,"Formation, protection and decontamination of soils and sediments",Positive,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
901,Granek 2007,Protective capacity of mangroves during tropical storms: a case study from 'Wilma' and 'Gamma' in Belize,Consensus,Cyclone/hurricane/typhoon,Environmental,Central America,2007,Local,Opportunistic observational studies after one event,< 1 year,No,Regulation of hazards and extreme events,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
880,Pavon-Jordan 2020,Positive impacts of important bird and biodiversity areas on wintering waterbirds under changing temperatures throughout Europe and North Africa,Consensus,Climate change,Environmental,Northern Africa; Eastern Europe; Northern Europe; Southern Europe; Western Europe,1990-2015,Global,Long-term observational study of one event,> 10 years,No,Habitat Creation and Maintenance,Positive,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
868,Gautam 2020,Do earthquakes change the timber and firewood use pattern of the forest dependent households? Evidence from rural hills in Nepal,Consensus,Earthquake,Environmental,Southern Asia,2015,Local,Survey or questionnaire,< 1 year,No,"Materials, companionship and labour",Negative,Direct impact on Demand; Direct impact on Flow,,,,,,,,,,,,,,,,,,,,,
850,Vaneli 2022,"Conceptual model to analyze the effects caused by technological disaster on the physical-chemical state of the lower Doce River waters, Brazil",Consensus,"Human-caused accident (Dam collapse, oil spill, chemical contamination, etc.)",Social,South America,2015,Local,Opportunistic observational studies after one event,< 1 year,No,Regulation of freshwater and coastal water quality,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
819,Caroppo 2017,The First World War in the Mar Piccolo of Taranto: First case of warfare ecology?,Consensus,Armed conflict,Social,Southern Europe,1883-1926,Local,Long-term observational study of one event,> 10 years,No,Food and Feed,Negative,Direct impact on Supply; Direct impact on Demand,,,,,,,,,,,,,,,,,,,,,
814,Lasco 2016,"Smallholder farmers' perceptions of climate change and the roles of trees and agroforestry in climate risk adaptation: evidence from Bohol, Philippines",Consensus,Climate change,Environmental,South-eastern Asia,2012,Local,Survey or questionnaire,> 10 years,No,Regulation of hazards and extreme events,Negative,Direct impact on Demand; Indirect impact on Demand,,,,,,,,,,,,,,,,,,,,,
760,McAdoo 2011,"Coral reefs as buffers during the 2009 South Pacific tsunami, Upolu Island, Samoa",Consensus,Tsunami,Environmental,Polynesia,2009,Local,Opportunistic observational studies after one event,< 1 year,No,Regulation of hazards and extreme events,Negative,Direct impact on Supply,Food and Feed,,Direct impact on Supply; Direct impact on Demand,,,,,,,,,,,,,,,,,,
706,Ziegler 2017,Climate Warming Can Accelerate Carbon Fluxes without Changing Soil Carbon Stocks,Consensus,Climate change,Environmental,Northern America,2011-2015,Local,Experimental study,> 10 years,No,Regulation of climate,Positive,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
680,Liu 2019,Rice paddy fields' hidden value for typhoon protection in coastal areas,Consensus,Cyclone/hurricane/typhoon,Environmental,Eastern Asia,1989-2016,National,Long-term observational study of one event,< 1 year,No,Regulation of hazards and extreme events,Positive,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
673,Enete 2012,Climate change and the profitability of indigenous adaptation practices in smallholder agriculture in South East Nigeria,Consensus,Climate change,Environmental,Western Africa,2012,Local,Survey or questionnaire,> 10 years,No,Food and Feed,Negative,Direct impact on Supply; Direct impact on Demand,,,,,,,,,,,,,,,,,,,,,
644,Fu 2020,Sensitivity of gross primary productivity to climatic drivers during the summer drought of 2018 in Europe,Consensus,Drought,Environmental,Eastern Europe; Northern Europe; Southern Europe; Western Europe,2018,National,Opportunistic observational studies after one event,< 1 year,No,Regulation of climate,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
614,Martin 2017,Effects of transient Phragmites australis removal on brackish marsh greenhouse gas fluxes,Consensus,Species invasion,Environmental,Northern America,2014,Local,Experimental study,< 1 year,No,Regulation of climate,Positive,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
607,Zhang 2022,Climate Variability Masked Greening Effects on Water Yield in the Yangtze River Basin During 2001-2018,Consensus,Climate change,Environmental,Eastern Asia,2001-2018,Local,Long-term observational study of one event,> 10 years,No,"Regulation of freshwater quantity, location and timing",Negative,Direct impact on Supply; Indirect impact on Supply,,,,,,,,,,,,,,,,,,,,,
598,Egea 2019,Effect of In Situ short-term temperature increase on carbon metabolism and dissolved organic carbon (DOC) fluxes in a community dominated by the seagrass Cymodocea nodosa,Consensus,Oceanic Heatwave,Environmental,Southern Europe,2018,Local,Experimental study,< 1 year,No,Regulation of climate,Positive,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
593,Tatariw 2018,Salt marsh denitrification is impacted by oiling intensity six years after the Deepwater Horizon oil spill,Consensus,"Human-caused accident (Dam collapse, oil spill, chemical contamination, etc.)",Social,Northern America,2010,Local,Opportunistic observational studies after one event,< 1 year,No,"Formation, protection and decontamination of soils and sediments",Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
580,Bannister 2019,Potential anthropogenic regime shifts in three freshwater lakes in Tropical East Asia,Consensus,Climate change,Environmental,South-eastern Asia,1996-2016,Local,Long-term observational study of one event,> 10 years,Yes,Regulation of freshwater and coastal water quality,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
576,Choudhary 2021,"Study of habitat quality assessment using geospatial techniques in Keoladeo National Park, India",Consensus,Species invasion,Environmental,Southern Asia,2009-2015,Local,Long-term observational study of one event,< 1-10 years,No,Habitat Creation and Maintenance,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
560,Stevens 2012,Initial effects of a moderate-sized oil spill on benthic assemblage structure of a subtropical rocky shore,Consensus,"Human-caused accident (Dam collapse, oil spill, chemical contamination, etc.)",Social,Australia and New Zealand,2009,Local,Opportunistic observational studies after one event,< 1 year,No,Habitat Creation and Maintenance,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
540,Xiao 2017,Effects of Plant Functional Group Loss on Soil Microbial Community and Litter Decomposition in a Steppe Vegetation,Consensus,Vegetation loss,Environmental,Eastern Asia,2013,Local,Experimental study,< 1 year,Yes,"Formation, protection and decontamination of soils and sediments",Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
535,Sangil 2016,Seaweed community response to a massive CO2 input,Consensus,Volcano,Environmental,Northern Africa,2012,Local,Opportunistic observational studies after one event,< 1 year,Yes,Habitat Creation and Maintenance,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
533,Pannatier 2012,Response of carbon fluxes to the 2003 heat wave and drought in three mature forests in Switzerland,Consensus,Drought,Environmental,Western Europe,2003,Local,Long-term observational study of one event,< 1 year,No,Regulation of climate,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
520,Mulder 2020,The value of coastal wetlands for storm protection in Australia,Consensus,Cyclone/hurricane/typhoon,Environmental,Australia and New Zealand,1967-2016,National,Long-term observational study of one event,< 1 year,No,Regulation of hazards and extreme events,Positive,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
518,Bernard 2019,Effects of snow pack reduction and drought on litter decomposition in subalpine grassland communities,Consensus,Drought,Environmental,Western Europe,2012-2014,Local,Experimental study,< 1-10 years,No,"Formation, protection and decontamination of soils and sediments",Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
476,Githaiga 2019,Seagrass Removal Leads to Rapid Changes in Fauna and Loss of Carbon,Consensus,Vegetation loss,Environmental,Eastern Africa,2018,Local,Experimental study,< 1-10 years,Yes,Regulation of climate,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
465,BenMhenni 2021,"Assessment of drought frequency, severity, and duration and its impacts on vegetation greenness and agriculture production in Mediterranean dryland: A case study in Tunisia",Consensus,Drought,Environmental,Northern Africa,1982-2011,National,Long-term observational study of one event,< 1-10 years,No,Food and Feed,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
460,Silliman 2012,Degradation and resilience in Louisiana salt marshes after the BP-Deepwater Horizon oil spill,Consensus,"Human-caused accident (Dam collapse, oil spill, chemical contamination, etc.)",Social,Northern America,2010,Local,Opportunistic observational studies after one event,< 1 year,No,Habitat Creation and Maintenance,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
452,Robinne 2018,A spatial evaluation of global wildfire-water risks to human and natural systems,Consensus,Bushfire,Environmental,,2017,Global,Other: Global Assessment of Bushfire impacts on water quality,> 10 years,No,Regulation of freshwater and coastal water quality,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
443,Fang 2019,Contributions of climate change to the terrestrial carbon stock of the arid region of China: A multi-dataset analysis,Consensus,Climate change,Environmental,Eastern Asia,1980-2014,Local,Long-term observational study of one event,> 10 years,No,Regulation of climate,Positive,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
435,Zhou 2020,Eutrophication control strategies for highly anthropogenic influenced coastal waters,Consensus,Eutrophication/acidification,Social,Eastern Asia,1986-2017,Local,Long-term observational study of one event,> 10 years,No,Regulation of freshwater and coastal water quality,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
413,Hostert 2011,Rapid land use change after socio-economic disturbances: the collapse of the Soviet Union versus Chernobyl,Consensus,"Armed conflict; Human-caused accident (Dam collapse, oil spill, chemical contamination, etc.)",Social,Eastern Europe,"1986, 1991",National,Long-term observational study of one event,< 1 year,No,Food and Feed,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
408,Kowalska 2020,Analysis of floodplain forest sensitivity to drought,Consensus,Drought,Environmental,Eastern Europe,2018,Local,Opportunistic observational studies after one event,< 1 year,No,Regulation of climate,Positive,Direct impact on Supply,"Regulation of freshwater quantity, location and timing",Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,
402,Li 2022,Heavy rainfall in peak growing season had larger effects on soil nitrogen flux and pool than in the late season in a semiarid grassland,Consensus,Rainfall,Environmental,Eastern Asia,2014-2016,Local,Experimental study,< 1 year,No,"Formation, protection and decontamination of soils and sediments",Negative,Direct impact on Supply; Indirect impact on Supply,,,,,,,,,,,,,,,,,,,,,
388,Fan 2020,Impacts of the grain for Green Program on the spatial pattern of land uses and ecosystem services in mountainous settlements in southwest China,Consensus,Disturbances in forest regime,Social,Eastern Asia,1999-2009,Local,Long-term observational study of one event,< 1-10 years,No,Habitat Creation and Maintenance,Positive,Direct impact on Supply; Direct impact on Demand,"Regulation of freshwater quantity, location and timing",Positive,Direct impact on Supply; Indirect impact on Supply; Direct impact on Demand; Indirect impact on Demand,"Formation, protection and decontamination of soils and sediments",Positive,Direct impact on Supply; Indirect impact on Supply; Indirect impact on Demand,Food and Feed,Negative,Direct impact on Supply; Indirect impact on Supply; Direct impact on Demand; Indirect impact on Demand,"Materials, companionship and labour",Positive,Direct impact on Supply; Direct impact on Demand; Indirect impact on Demand,Physical and psychological experiences,Positive,Direct impact on Supply,,,,,,
379,Zampieri 2020,The impact of Hurricane Michael on longleaf pine habitats in Florida,Consensus,Cyclone/hurricane/typhoon,Environmental,Northern America,2018,Local,Opportunistic observational studies after one event,< 1 year,No,Habitat Creation and Maintenance,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
366,Mukherjee 2019,Diversity matters: Effects of density compensation in pollination service during rainfall shift,Consensus,Rainfall,Environmental,Southern Asia,2014,Local,Experimental study,< 1 year,No,Pollination and dispersal of seeds and other propagules,Negative,Direct impact on Supply,Food and Feed,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,
348,Tregarot 2021,"Coastal protection assessment: a tradeoff between ecological, social, and economic issues",Consensus,Coastal erosion/surges,Environmental,Western Africa,2018,Local,Opportunistic observational studies after one event,> 10 years,No,Habitat Creation and Maintenance,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
340,Delphin 2013,Mapping potential carbon and timber losses from hurricanes using a decision tree and ecosystem services driver model,Consensus,Cyclone/hurricane/typhoon,Environmental,Northern America,2003,Local,Opportunistic observational studies after one event,< 1 year,No,Regulation of climate,Negative,Direct impact on Supply,"Materials, companionship and labour",Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,
335,Mugari 2020,"Effects of Droughts on Vegetation Condition and Ecosystem Service Delivery in Data-Poor Areas: A Case of Bobirwa Sub-District, Limpopo Basin and Botswana",Consensus,Drought,Environmental,Southern Africa,1980-2015,Local,Long-term observational study of one event,< 1-10 years,No,Food and Feed,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
315,Aung 2021,"Satellite analysis of the environmental impacts of armed-conflict in Rakhine, Myanmar",Consensus,Armed conflict,Social,South-eastern Asia,2012-2019,Local,Long-term observational study of one event,< 1-10 years,No,Food and Feed,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
297,Leffler 2019,Cloud cover and delayed herbivory relative to timing of spring onset interact to dampen climate change impacts on net ecosystem exchange in a coastal Alaskan wetland,Consensus,Climate change,Environmental,Northern America,2014-2016,Local,Experimental study,> 10 years,No,Regulation of climate,Negative,Direct impact on Supply; Indirect impact on Supply,,,,,,,,,,,,,,,,,,,,,
263,Greenop 2020,Equivocal Evidence for Colony Level Stress Effects on Bumble Bee Pollination Services,Consensus,Heatwave,Environmental,Northern Europe,2018,Local,Experimental study,< 1 year,No,Pollination and dispersal of seeds and other propagules,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
261,Hanson 2020,Rapid Net Carbon Loss From a Whole-Ecosystem Warmed Peatland,Consensus,Climate change,Environmental,Northern America,2014-2016,Local,Experimental study,< 1-10 years,No,Regulation of climate,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
225,Fortnam 2021,Multiple impact pathways of the 2015-2016 El Nino in coastal Kenya,Consensus,Climate change,Environmental,Eastern Africa,2015-2016,Local,Opportunistic observational studies after one event,< 1-10 years,No,Food and Feed,Negative,Direct impact on Supply; Direct impact on Demand; Direct impact on Flow,,,,,,,,,,,,,,,,,,,,,
223,Sanogo 2017,Farmers' perceptions of climate change impacts on ecosystem services delivery of parklands in southern Mali,Consensus,Climate change,Environmental,Western Africa,2016,Local,Survey or questionnaire,> 10 years,No,"Materials, companionship and labour",Negative,Direct impact on Supply; Indirect impact on Supply,"Formation, protection and decontamination of soils and sediments",Negative,Direct impact on Supply; Indirect impact on Supply,,,,,,,,,,,,,,,,,,
178,Sato 2020,"Changes in the potential stocks of coral reef ecosystem services following coral bleaching in Sekisei Lagoon, southern Japan: implications for the future under global warming",Consensus,Other: Coral bleaching event,Environmental,Eastern Asia,2016,Local,Opportunistic observational studies after one event,< 1 year,Yes,Food and Feed,Negative,Direct impact on Supply,Physical and psychological experiences,Negative,Direct impact on Supply,"Materials, companionship and labour",Negative,Direct impact on Supply,,,,,,,,,,,,,,,
170,Azevedo 2022,A big data approach to identify the loss of coastal cultural ecosystem services caused by the 2019 Brazilian oil spill disaster,Consensus,"Human-caused accident (Dam collapse, oil spill, chemical contamination, etc.)",Social,South America,2019,Local,Opportunistic observational studies after one event,< 1 year,No,Physical and psychological experiences,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
165,Luo 2018,The effects of China's Ecological Control Line policy on ecosystem services: The case of Wuhan City,Consensus,Disturbances in forest regime,Social,Eastern Asia,2009-2014,Local,Opportunistic observational studies after one event,< 1 year,No,Food and Feed,Positive,Direct impact on Supply,"Materials, companionship and labour",Positive,Direct impact on Supply,Regulation of climate,Positive,Direct impact on Supply,Regulation of freshwater and coastal water quality,Positive,Direct impact on Supply,"Formation, protection and decontamination of soils and sediments",Positive,Direct impact on Supply,Physical and psychological experiences,Positive,Direct impact on Supply,,,,,,
162,Kabisch 2021,A methodological framework for the assessment of regulating and recreational ecosystem services in urban parks under heat and drought conditions,Consensus,Drought; Heatwave,Environmental,Western Europe,2018-2019,Local,Opportunistic observational studies after one event,< 1-10 years,No,Regulation of air quality,Negative,Direct impact on Supply; Direct impact on Demand,Regulation of climate,Negative,Direct impact on Supply; Direct impact on Demand,,,,,,,,,,,,,,,,,,
157,Mugari 2019,"Perceptions of ecosystem services provision performance in the face of climate change among communities in Bobirwa sub-district, Botswana",Consensus,Climate change,Environmental,Southern Africa,2006-2016,Local,Survey or questionnaire,> 10 years,No,"Regulation of freshwater quantity, location and timing",Negative,Direct impact on Supply; Indirect impact on Supply; Direct impact on Demand; Indirect impact on Demand,"Formation, protection and decontamination of soils and sediments",Negative,Direct impact on Supply; Indirect impact on Supply; Direct impact on Demand; Indirect impact on Demand,Food and feed,Negative,Direct impact on Supply; Indirect impact on Supply; Direct impact on Demand; Indirect impact on Demand,"Materials, companionship and labour",Negative,Direct impact on Supply; Direct impact on Demand,,,,,,,,,,,,
155,Harada 2020,Stable isotopes indicate ecosystem restructuring following climate-driven mangrove dieback,Consensus,Climate change,Environmental,Australia and New Zealand,2015-2016,Local,Opportunistic observational studies after one event,< 1 year,Yes,Habitat Creation and Maintenance,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
121,Li 2017,Evaluation of Drought Implications on Ecosystem Services: Freshwater Provisioning and Food Provisioning in the Upper Mississippi River Basin,Consensus,Drought,Environmental,Northern America,1985-2015,Local,Long-term observational study of one event,< 1-10 years,No,"Regulation of freshwater quantity, location and timing",Negative,Direct impact on Supply,Food and Feed,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,
119,Wang 2014,"Evaluating losses in ecosystem services in nature reserves in Sichuan, China",Consensus,Climate change,Environmental,Eastern Asia,2000-2010,Global,Long-term observational study of one event,> 10 years,No,Habitat Creation and Maintenance,Negative,Direct impact on Supply,"Regulation of freshwater quantity, location and timing",Negative,Direct impact on Supply,Regulation of climate,Negative,Direct impact on Supply,Food and Feed,Negative,Direct impact on Supply,"Materials, companionship and labour",Negative,Direct impact on Supply,"Formation, protection and decontamination of soils and sediments",Negative,Direct impact on Supply,Physical and psychological experiences,Negative,Direct impact on Supply,,,
115,Duan 2021,"Changes in ecosystem services in a montane landscape impacted by major earthquakes: A case study in Wenchuan earthquake-affected area, China",Consensus,Earthquake,Environmental,Eastern Asia,2008,Local,Long-term observational study of one event,< 1 year,Yes,Habitat Creation and Maintenance,Negative,Direct impact on Supply; Indirect impact on Supply,"Formation, protection and decontamination of soils and sediments",Negative,Direct impact on Supply; Indirect impact on Supply,"Regulation of freshwater quantity, location and timing",Negative,Direct impact on Supply; Indirect impact on Supply,Regulation of climate,Negative,Direct impact on Supply; Indirect impact on Supply,,,,,,,,,,,,
114,Jiang 2016,"Quantification and assessment of changes in ecosystem service in the Three-River Headwaters Region, China as a result of climate variability and land cover change",Consensus,Climate change,Environmental,Eastern Asia,2000-2012,Local,Long-term observational study of one event,> 10 years,No,"Formation, protection and decontamination of soils and sediments",Positive,Direct impact on Supply,"Regulation of freshwater quantity, location and timing",Positive,Direct impact on Supply,Regulation of climate,Positive,Direct impact on Supply,Food and Feed,Positive,Direct impact on Supply,,,,,,,,,,,,
113,Cote-Laurin 2017,The short-term impacts of a cyclone on seagrass communities in Southwest Madagascar,Consensus,Cyclone/hurricane/typhoon,Environmental,Eastern Africa,2013,Local,Opportunistic observational studies after one event,< 1 year,No,Habitat Creation and Maintenance,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
96,Servino 2018,Extreme weather impacts on tropical mangrove forests in the Eastern Brazil Marine Ecoregion,Consensus,Other: Hail storm,Environmental,South America,2016,Local,Opportunistic observational studies after one event,< 1 year,No,Habitat Creation and Maintenance,Negative,Direct impact on Supply,Physical and psychological experiences,Negative,Direct impact on Supply,Food and feed,Negative,Direct impact on Supply,"Materials, companionship and labour",Negative,Direct impact on Supply,,,,,,,,,,,,
57,Han 2019,Effects of drought on freshwater ecosystem services in poverty-stricken mountain areas,Consensus,Drought,Environmental,Eastern Asia,1996-2015,Local,Opportunistic observational studies after one event,< 1-10 years,No,"Regulation of freshwater quantity, location and timing",Negative,Direct impact on Supply,"Formation, protection and decontamination of soils and sediments",Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,
51,Wang 2012,Evaluation the impact of earthquake on ecosystem services,Consensus,Earthquake,Environmental,Eastern Asia,2008,Local,Opportunistic observational studies after one event,< 1 year,No,Regulation of climate,Negative,Direct impact on Supply,"Regulation of freshwater quantity, location and timing",Negative,Direct impact on Supply,"Formation, protection and decontamination of soils and sediments",Negative,Direct impact on Supply,,,,,,,,,,,,,,,
44,Munthali 2022,Drastic reduction of nutrient loading to a reservoir alters its resistance to impacts of extreme climatic events,Consensus,Climate change,Environmental,Southern Europe,1950-2015,Local,Long-term observational study of one event,> 10 years,No,Regulation of freshwater and coastal water quality,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
43,Kocur-Bera 2018,A safe space of rural areas in the context of the occurrence of extreme weather events-A case study covering a part of the Euroregion Baltic,Consensus,Climate change,Environmental,Eastern Europe,2010-2014,Local,Long-term observational study of one event,> 10 years,No,Food and Feed,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
38,Dittmann 2022,Effects of Extreme Salinity Stress on a Temperate Mangrove Ecosystem,Consensus,Vegetation loss; Other: Hyper Salinity event,Environmental,Australia and New Zealand,2021,Local,Opportunistic observational studies after one event,< 1 year,No,Regulation of climate,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
36,Tran 2019,The importance of ecosystem services to smallholder farmers in climate change adaptation: learning from an ecosystem-based adaptation pilot in Vietnam,Consensus,Climate change,Environmental,South-eastern Asia,2017,Local,Survey or questionnaire,> 10 years,No,Food and Feed,Negative,Direct impact on Supply,"Materials, companionship and labour",Negative,Direct impact on Supply,Physical and psychological experiences,Negative,Direct impact on Supply,"Regulation of freshwater quantity, location and timing",Negative,Direct impact on Supply,,,,,,,,,,,,
29,delaBarrera 2018,Megafires in Chile 2017: Monitoring multiscale environmental impacts of burned ecosystems,Consensus,Bushfire,Environmental,South America,2017,National,Opportunistic observational studies after one event,< 1 year,No,Regulation of air quality,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
28,Sanchez-Rodriguez 2019,Typology of extreme flood event leads to differential impacts on soil functioning,Consensus,Flooding,Environmental,Northern Europe,2014,Local,Experimental study,< 1 year,No,Regulation of freshwater and coastal water quality,Negative,Direct impact on Supply,Regulation of air quality,Negative,Direct impact on Supply,Habitat Creation and Maintenance,Negative,Direct impact on Supply,"Formation, protection and decontamination of soils and sediments",Negative,Direct impact on Supply,,,,,,,,,,,,
23,Crespo 2019,"Flood protection ecosystem services in the coast of Puerto Rico: Associations between extreme weather, flood hazard mitigation and gastrointestinal illness",Consensus,Flooding,Environmental,Caribbean,1999-2014,Local,Long-term observational study of one event,< 1 year,No,Regulation of hazards and extreme events,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
21,Maia 2018,Climate Change and Agriculture: Do Environmental Preservation and Ecosystem Services Matter?,Consensus,Climate change,Environmental,South America,2000-2014,Local,Long-term observational study of one event,> 10 years,No,Food and Feed,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
16,Marin 2014,Ecosystem Services and Abrupt Transformations in a Coastal Wetland Social-Ecological System: Tubul-Raqui after the 2010 Earthquake in Chile,Consensus,Earthquake,Environmental,South America,2010,Local,Survey or questionnaire,< 1 year,Yes,Food and Feed,Negative,Direct impact on Supply; Direct impact on Demand,"Materials, companionship and labour",Negative,Direct impact on Supply; Direct impact on Demand,Physical and psychological experiences,Negative,Direct impact on Supply; Direct impact on Demand,"Regulation of freshwater quantity, location and timing",Negative,Direct impact on Supply; Direct impact on Demand,Regulation of freshwater and coastal water quality,Negative,Direct impact on Supply; Direct impact on Demand,Regulation of detrimental organisms and biological processes,Negative,Direct impact on Supply; Direct impact on Demand,,,,,,
14,Chen 2021,Extreme cold events reduce the stability of mangrove soil mollusc community biomass in the context of climate impact,Consensus,Freeze,Environmental,Eastern Asia,2008,Local,Opportunistic observational studies after one event,< 1 year,No,"Formation, protection and decontamination of soils and sediments",Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
5,Tomczyk 2016,Effects of extreme natural events on the provision of ecosystem services in a mountain environment: The importance of trail design in delivering system resilience and ecosystem service co-benefits,Consensus,Rainfall,Environmental,Eastern Europe,2010,Local,Opportunistic observational studies after one event,< 1 year,No,"Formation, protection and decontamination of soils and sediments",Negative,Direct impact on Supply,Physical and psychological experiences,Negative,Direct impact on Supply,Habitat Creation and Maintenance,Negative,Direct impact on Supply,,,,,,,,,,,,,,,
2,Nielsen 2012,The ecology of pulse events: insights from an extreme climatic event in a polar desert ecosystem,Consensus,Flooding,Environmental,Antarctica,2008-2009,Local,Opportunistic observational studies after one event,< 1 year,No,Habitat Creation and Maintenance,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
